genus;specie;status
Actinomyces;NA;+
Akkermansia;NA;+
Alistipes;Alistipes_finegoldii;+
Alistipes;Alistipes_indistinctus;+
Bacteroides;Bacteroides_salyersiae;-
Bacteroides;Bacteroides_thetaiotaomicron;-
Bifidobacterium;NA;+
Bifidobacterium;NA;-
Blautia;NA;-
Burkholderiales;Burkholderiales_bacterium;-
Butyrivibrio;NA;-
Clostridium;NA;+
Clostridium;NA;-
Coprococcus;NA;-
Desulfovibrio;NA;+
Dorea;NA;+
Dorea;NA;-
Eggerthella;NA;+
Enterobacter;NA;+
Enterococcus;NA;-
Eubacterium;Eubacterium_rectale;-
Faecalibacterium;NA;-
Fusobacterium;NA;+
Klebsiella;NA;+
Klebsiella;NA;-
Lactobacillus;NA;+
Megasphaera;NA;+
Oscillibacter;NA;-
Oscillospira;NA;-
Parabacteroides;NA;+
Paraprevotella;Paraprevotella_clara;-
Paraprevotella;Paraprevotella_xylaniphila;-
Parasutterella;NA;+
Porphyromonas;NA;+
Prevotella;NA;+
Roseburia;NA;-
Ruminococcus;Ruminococcus_callidus;-
Salmonella;NA;+
Shigella;NA;+
Streptococcus;NA;+
Synergistetes;NA;-
Veillonella;NA;-
